epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.054,0.27377,3.17248,0.89853,0.26051,0.45027,0.27696,0.2753,0.1667,2.28485,0.75248,6.51434e-05,6.51434e-05,6.51434e-05
2,439.158,0.16552,1.98919,0.83938,0.4866,0.48229,0.49138,0.4884,0.19044,1.81362,0.75783,0.000129682,0.000129682,0.000129682
3,658.644,0.15779,1.47118,0.83231,0.54239,0.54588,0.56562,0.56319,0.174,1.61745,0.71771,0.000191066,0.000191066,0.000191066
4,877.934,0.15706,1.20992,0.83375,0.64796,0.5951,0.64721,0.6462,0.14685,1.486,0.70389,0.000185425,0.000185425,0.000185425
5,1097.09,0.14663,1.03415,0.82527,0.60422,0.58442,0.64607,0.64389,0.13031,1.39201,0.68816,0.000177471,0.000177471,0.000177471
6,1310.17,0.13606,0.92153,0.82335,0.70243,0.5884,0.69099,0.69061,0.12623,1.24735,0.68309,0.000167583,0.000167583,0.000167583
7,1526.8,0.13073,0.8378,0.8201,0.6877,0.61621,0.68877,0.68488,0.16342,1.31958,0.71753,0.000156007,0.000156007,0.000156007
8,1738.99,0.12235,0.77695,0.81674,0.69641,0.63464,0.71134,0.71123,0.11131,1.22016,0.67366,0.000143026,0.000143026,0.000143026
9,1956.62,0.11738,0.73635,0.82011,0.69383,0.62384,0.71147,0.71078,0.12247,1.20507,0.68688,0.000128961,0.000128961,0.000128961
10,2169.3,0.1148,0.69393,0.81969,0.68301,0.6459,0.72013,0.71941,0.09753,1.1023,0.66391,0.000114157,0.000114157,0.000114157
11,2385.94,0.09293,0.39168,0.78794,0.65478,0.68116,0.71042,0.71033,0.08759,1.12927,0.64055,9.898e-05,9.898e-05,9.898e-05
12,2596.84,0.0876,0.34406,0.78767,0.71382,0.63887,0.73699,0.73692,0.09335,1.0527,0.64885,8.38027e-05,8.38027e-05,8.38027e-05
13,2812.5,0.08314,0.29796,0.78847,0.69765,0.67983,0.7311,0.73109,0.07718,1.03229,0.62834,6.89992e-05,6.89992e-05,6.89992e-05
14,3022.6,0.07685,0.26689,0.78416,0.69883,0.67128,0.73555,0.73535,0.09645,1.02089,0.66812,5.49338e-05,5.49338e-05,5.49338e-05
15,3232.82,0.0724,0.23871,0.78558,0.723,0.69921,0.76344,0.76343,0.08162,0.91858,0.64156,4.19531e-05,4.19531e-05,4.19531e-05
16,3449.34,0.06858,0.20852,0.78334,0.78391,0.67685,0.76921,0.76908,0.08326,0.87461,0.64849,3.03765e-05,3.03765e-05,3.03765e-05
17,3664.55,0.06563,0.18959,0.78127,0.74264,0.69911,0.77631,0.77625,0.07776,0.86676,0.64099,2.04892e-05,2.04892e-05,2.04892e-05
18,3879.83,0.06222,0.17668,0.78549,0.74186,0.7181,0.78285,0.78285,0.07504,0.85399,0.63964,1.25345e-05,1.25345e-05,1.25345e-05
19,4095.31,0.06053,0.15948,0.7855,0.75182,0.72111,0.78951,0.78951,0.0694,0.80468,0.63153,6.7085e-06,6.7085e-06,6.7085e-06
20,4306.6,0.0598,0.15424,0.78411,0.76862,0.70593,0.7876,0.7876,0.06791,0.81894,0.63035,3.15448e-06,3.15448e-06,3.15448e-06
